description,n1,n2,n3,n4
Trendy1,1040666,679182011,,
Trendy2,1040664,679217011,3880961,
Trendy3,1040658,679255011,3887881,
Trendy4,1040660,679337011,7192394011,
Father,2474955011,1044442,,
DIY1,,,,
DIY2,,,,
DIY3,328182011,13400691,,
DIY4,328182011,13400691,,
Girlfriend,15743631,7192394011,2255574011,166461011
Wife,15743631,7192394011,2255574011,166461011
Mother,1040660,284507,2255571011,
Active,3407731,706809011,,
Fitness,6973663011,3408271,,
Gadget,172623,667846011,2642129011,
Gamer,11846801,172487,,
Artist,3736081,2617942011,6685269011,
Bookworm,2642129011,1000,,
Adventurer,3400371,,,
Pop,2625374011,37,,
Panimal,2983387011,2983385011,13218391,3226142011
Pgirl,119342011,679416011,2474971011,15743661
Professional1,,,,
Professional2,,,,
Professional3,2983386011,2474955011,1063278,
Professional4,2983386011,1063278,,
Grandparents,1063286,1065908,2255583011,
Foodie,2255584011,2255573011,409670,
TV,2649513011,,,
Fan,3386071,,,
