description,n1,n2,n3,n4
Trendy1,1040666,679182011,0,0
Trendy2,1040664,679217011,3880961,0
Trendy3,1040658,679255011,3887881,0
Trendy4,1040660,679337011,7192394011,0
Father,2474955011,1044442,0,0
DIY1,0,0,0,0
DIY2,0,0,0,0
DIY3,328182011,13400691,0,0
DIY4,328182011,13400691,0,0
Girlfriend,15743631,7192394011,2255574011,166461011
Wife,15743631,7192394011,2255574011,166461011
Mother,1040660,284507,2255571011,0
Active,3407731,706809011,0,0
Fitness,6973663011,3408271,0,0
Gadget,172623,667846011,2642129011,0
Gamer,11846801,172487,0,0
Artist,3736081,2617942011,6685269011,0
Bookworm,2642129011,1000,0,0
Adventurer,3400371,0,0,0
Pop,2625374011,37,,0
Panimal,2983387011,2983385011,13218391,3226142011
Pgirl,119342011,679416011,2474971011,15743661
Professional1,0,0,0,0
Professional2,0,0,0,0
Professional3,2983386011,2474955011,1063278,0
Professional4,2983386011,1063278,,0
Grandparents,1063286,1065908,2255583011,0
Foodie,2255584011,2255573011,409670,0
TV,2649513011,0,0,0
Fan,3386071,0,0,0
